Date,Activity,Group,Duration,Distance,Steps,Calories
7/21/14,transport,transport,6162,472.048,0,0
7/22/14,walking,walking,9333,6.698,15736,702
7/23/14,walking,walking,6715,4.612,11144,483
7/24/14,walking,walking,4069,2.671,5914,280
7/24/14,car,transport,3970,16.758,0,0
7/24/14,transport,transport,619,1.362,0,0
7/24/14,airplane,transport,2476,458.332,0,0
7/25/14,walking,walking,7210,4.818,11242,505
7/25/14,bus,transport,1471,3.216,0,0
7/25/14,transport,transport,1489,4.078,0,0
7/26/14,transport,transport,217,1.264,0,0
7/26/14,walking,walking,2621,1.709,4288,179
7/27/14,walking,walking,4300,2.731,6705,286
7/28/14,walking,walking,10109,7.220,16209,756
7/28/14,bus,transport,2331,5.312,0,0
7/29/14,walking,walking,5192,4.310,8677,452
7/29/14,bus,transport,3816,6.529,0,0
7/30/14,walking,walking,11321,8.457,18336,886
7/30/14,bus,transport,1351,3.172,0,0
7/30/14,transport,transport,1832,3.658,0,0
7/31/14,walking,walking,8042,5.539,12736,580
7/31/14,transport,transport,1395,1.903,0,0
7/31/14,car,transport,1056,3.900,0,0
8/1/14,walking,walking,6814,4.749,9328,498
8/1/14,bus,transport,3199,6.523,0,0
8/2/14,walking,walking,8071,5.982,12747,627
8/2/14,car,transport,559,1.801,0,0
8/3/14,walking,walking,4240,2.668,6500,280
8/3/14,transport,transport,1172,5.696,0,0
8/3/14,underground,transport,721,2.364,0,0
8/3/14,car,transport,658,2.989,0,0
8/4/14,walking,walking,6869,4.706,10024,493
8/4/14,bus,transport,2953,5.215,0,0
8/4/14,running,running,243,0.344,585,44
8/4/14,underground,transport,1670,6.884,0,0
8/5/14,walking,walking,8392,6.414,12230,672
8/5/14,bus,transport,1925,4.293,0,0
8/6/14,walking,walking,6647,4.943,10434,518
8/6/14,bus,transport,3247,7.080,0,0
8/6/14,transport,transport,2374,12.874,0,0
8/6/14,airplane,transport,4385,456.905,0,0
8/7/14,walking,walking,8691,6.226,13951,652
8/8/14,walking,walking,7880,5.566,11709,583
8/8/14,car,transport,569,2.085,0,0
8/9/14,walking,walking,9350,6.619,14145,693
8/10/14,walking,walking,5428,3.609,8185,378
8/11/14,walking,walking,8543,5.500,12725,576
8/12/14,walking,walking,6371,4.491,10225,470
8/13/14,walking,walking,5094,3.515,8018,368
8/13/14,car,transport,680,2.336,0,0
8/13/14,underground,transport,1021,2.140,0,0
8/14/14,walking,walking,7329,5.331,11659,559
8/15/14,walking,walking,7600,5.275,10577,553
8/15/14,underground,transport,1595,7.420,0,0
8/16/14,walking,walking,4732,3.618,7550,379
8/17/14,walking,walking,10325,7.991,15256,837
8/18/14,walking,walking,8993,7.268,14592,761
8/19/14,walking,walking,8942,6.482,13669,679
8/20/14,walking,walking,7428,5.846,12441,612
8/21/14,walking,walking,7815,6.560,12305,687
8/22/14,walking,walking,7204,4.913,12038,515
8/23/14,walking,walking,4776,2.694,6766,282
8/23/14,bus,transport,1654,4.732,0,0
8/23/14,underground,transport,1277,3.820,0,0
8/23/14,car,transport,1403,6.971,0,0
8/24/14,walking,walking,2881,1.721,4166,180
8/25/14,walking,walking,8874,7.248,14239,759
8/26/14,walking,walking,7936,5.533,12684,580
8/27/14,walking,walking,7225,5.374,11338,563
8/28/14,walking,walking,7053,5.551,12191,582
8/29/14,walking,walking,5832,4.130,8925,433
8/30/14,walking,walking,7314,5.332,10877,559
8/30/14,transport,transport,6292,49.651,0,0
8/31/14,walking,walking,6772,4.572,9174,479
8/31/14,transport,transport,7311,103.023,0,0
9/1/14,walking,walking,6257,4.489,9726,470
9/2/14,walking,walking,6906,5.036,11537,528
9/3/14,walking,walking,8341,7.218,13641,756
9/4/14,walking,walking,7752,5.609,11561,588
9/5/14,walking,walking,8376,7.022,14173,736
9/6/14,walking,walking,6482,4.842,10301,507
9/7/14,walking,walking,2496,1.628,3590,171
9/8/14,walking,walking,7135,5.691,12823,596
9/9/14,walking,walking,5436,4.260,7938,446
9/10/14,walking,walking,5686,4.417,8474,463
9/10/14,transport,transport,2029,8.382,0,0
9/11/14,walking,walking,8665,5.758,14007,603
9/11/14,transport,transport,564,2.169,0,0
9/12/14,walking,walking,5934,4.005,9527,420
9/12/14,transport,transport,386,0.883,0,0
9/13/14,walking,walking,2687,1.648,3908,173
9/14/14,walking,walking,2282,1.603,3698,168
9/15/14,walking,walking,10275,7.748,16251,812
9/16/14,walking,walking,9082,5.883,13166,616
9/16/14,transport,transport,593,0.511,0,0
9/17/14,walking,walking,7078,5.297,10843,555
9/18/14,walking,walking,5055,3.579,8449,375
9/18/14,transport,transport,12714,482.625,0,0
9/19/14,walking,walking,2596,1.716,4087,180
9/20/14,walking,walking,6363,4.220,9431,442
9/20/14,bus,transport,645,1.026,0,0
9/20/14,transport,transport,625,1.632,0,0
9/20/14,car,transport,6821,82.634,0,0
9/21/14,car,transport,2075,7.847,0,0
9/21/14,walking,walking,4058,2.684,5590,281
9/21/14,airplane,transport,4676,464.339,0,0
9/21/14,underground,transport,2475,7.965,0,0
9/22/14,walking,walking,5463,4.588,8838,481
9/23/14,walking,walking,3526,3.006,6025,315
9/24/14,walking,walking,6457,4.982,10223,522
9/24/14,transport,transport,2882,9.912,0,0
9/25/14,walking,walking,6406,5.167,9777,541
9/26/14,walking,walking,9134,6.915,13785,724
9/27/14,walking,walking,4076,2.781,5654,291
9/27/14,transport,transport,750,0.536,0,0
9/28/14,walking,walking,750,0.419,935,44
9/29/14,walking,walking,4997,3.621,7886,379
9/30/14,walking,walking,5844,4.034,8868,423
10/1/14,walking,walking,6806,4.967,10770,520
10/1/14,transport,transport,532,2.024,0,0
10/2/14,walking,walking,8876,6.303,12379,660
10/3/14,walking,walking,3618,2.070,4828,217
10/3/14,underground,transport,2492,9.236,0,0
10/3/14,transport,transport,15461,1040.387,0,0
10/4/14,walking,walking,2894,1.572,2851,165
10/4/14,transport,transport,129,0.833,0,0
10/5/14,walking,walking,3066,1.914,4385,201
10/5/14,transport,transport,16993,1088.499,0,0
10/6/14,walking,walking,7471,5.408,11270,567
10/7/14,walking,walking,5798,4.388,9136,460
10/8/14,walking,walking,4358,3.494,6577,366
10/9/14,walking,walking,6714,5.251,10055,550
10/10/14,walking,walking,6193,4.756,9745,498
10/10/14,transport,transport,10234,72.744,0,0
10/11/14,walking,walking,9377,5.724,12542,600
10/11/14,transport,transport,3531,32.741,0,0
10/12/14,walking,walking,4517,2.679,6091,281
10/12/14,transport,transport,10530,145.532,0,0
10/13/14,walking,walking,4830,3.333,7164,349
10/14/14,walking,walking,7151,5.523,10920,579
10/15/14,walking,walking,9181,6.990,13993,732
10/16/14,walking,walking,5812,4.440,9094,465
10/16/14,transport,transport,4571,10.399,0,0
10/17/14,walking,walking,6122,4.565,9797,478
10/18/14,walking,walking,8097,6.083,12264,637
10/19/14,walking,walking,8324,6.490,13357,680
10/20/14,walking,walking,8695,4.378,8862,459
10/21/14,walking,walking,6514,4.437,9288,465
10/22/14,transport,transport,619,0.442,0,0
10/22/14,walking,walking,5210,3.775,7919,396
10/23/14,walking,walking,10122,7.991,16325,837
10/24/14,walking,walking,4602,3.494,6822,366
10/24/14,transport,transport,9797,101.092,0,0
10/25/14,walking,walking,3375,2.097,4641,220
10/25/14,transport,transport,7885,39.810,0,0
10/26/14,walking,walking,3257,2.029,4468,213
10/26/14,transport,transport,5596,67.570,0,0
