Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/9/14,walking,walking,2014-12-09T15:30:45-06:00,2014-12-09T15:33:47-06:00,182,0.091,195,10
12/9/14,walking,walking,2014-12-09T17:11:49-06:00,2014-12-09T17:12:49-06:00,60,0.032,102,3
12/9/14,walking,walking,2014-12-09T17:56:37-06:00,2014-12-09T18:01:45-06:00,308,0.160,427,17
12/9/14,transport,transport,2014-12-09T18:01:45-06:00,2014-12-09T18:09:55-06:00,490,1.441,0,0
12/9/14,walking,walking,2014-12-09T18:10:15-06:00,2014-12-09T18:11:45-06:00,90,0.041,132,4
12/9/14,walking,walking,2014-12-09T20:32:39-06:00,2014-12-09T20:33:09-06:00,30,0.016,51,2
12/9/14,walking,walking,2014-12-09T20:36:31-06:00,2014-12-09T20:58:11-06:00,1300,1.074,2240,113
12/9/14,walking,walking,2014-12-09T21:00:40-06:00,2014-12-09T21:01:10-06:00,30,0.012,41,1
12/9/14,walking,walking,2014-12-09T22:54:59-06:00,2014-12-09T22:55:29-06:00,30,0.009,30,1
12/10/14,walking,walking,2014-12-10T05:54:03-06:00,2014-12-10T05:55:33-06:00,90,0.029,91,3
12/10/14,walking,walking,2014-12-10T06:34:47-06:00,2014-12-10T06:35:17-06:00,30,0.016,51,2
12/10/14,walking,walking,2014-12-10T06:35:50-06:00,2014-12-10T06:57:50-06:00,1320,1.150,2201,121
12/10/14,walking,walking,2014-12-10T06:59:19-06:00,2014-12-10T07:00:24-06:00,65,0.034,108,4
12/10/14,walking,walking,2014-12-10T08:00:00-06:00,2014-12-10T08:06:56-06:00,416,0.272,583,28
12/10/14,walking,walking,2014-12-10T09:30:54-06:00,2014-12-10T09:35:27-06:00,273,0.134,287,14
12/10/14,walking,walking,2014-12-10T11:07:43-06:00,2014-12-10T11:17:17-06:00,574,0.357,767,37
12/10/14,walking,walking,2014-12-10T12:05:25-06:00,2014-12-10T12:06:58-06:00,93,0.052,168,5
12/10/14,walking,walking,2014-12-10T13:49:23-06:00,2014-12-10T13:52:13-06:00,170,0.080,157,8
12/10/14,walking,walking,2014-12-10T14:05:04-06:00,2014-12-10T14:08:04-06:00,180,0.123,264,13
12/10/14,walking,walking,2014-12-10T14:47:29-06:00,2014-12-10T15:14:35-06:00,1626,1.243,2453,130
12/10/14,walking,walking,2014-12-10T17:44:35-06:00,2014-12-10T17:49:18-06:00,283,0.157,382,16
12/10/14,walking,walking,2014-12-10T17:55:11-06:00,2014-12-10T17:59:05-06:00,234,0.155,357,16
12/10/14,walking,walking,2014-12-10T19:08:07-06:00,2014-12-10T19:09:07-06:00,60,0.032,101,3
12/10/14,walking,walking,2014-12-10T20:09:54-06:00,2014-12-10T20:11:54-06:00,120,0.050,162,5
12/10/14,walking,walking,2014-12-10T21:52:32-06:00,2014-12-10T21:53:02-06:00,30,0.016,51,2
12/10/14,walking,walking,2014-12-10T23:17:01-06:00,2014-12-10T23:18:01-06:00,60,0.019,41,2
12/11/14,walking,walking,2014-12-11T05:44:57-06:00,2014-12-11T05:45:57-06:00,60,0.022,71,2
